Traffic,Sources,UDP,TCP
1566670,140745,238079,1264907
1537525,141013,234320,1240150
1518688,142056,235882,1214744
1482917,141692,238483,1174404
1446049,141587,244491,1133631
1480672,141029,235616,1175813
1480944,141864,239472,1172332
1504456,141793,246292,1187304
1452029,140872,242326,1140715
1433869,140782,236175,1129271
1428022,140042,237321,1118841
1444099,140703,235363,1139343
1427883,141553,242520,1116377
1408766,141519,233615,1107164
1450407,141620,228593,1152511
1431272,141601,241557,1120071
1438153,142831,242093,1127429
1416423,141918,234296,1113754
1447377,142373,237033,1140773
1464769,142010,239270,1155988
1498004,143276,233593,1195007
1474815,144339,243207,1163156
1773447,144159,240390,1463706
2355925,143856,240730,2046813
1859595,142346,226104,1563398
2165942,141889,237893,1857828
2015296,141496,239103,1706995
2425944,141543,241638,2116356
1921397,141622,233826,1618145
2325022,141990,232695,2023522
2417800,141473,231160,2117422
2333310,142540,242545,2021296
2327066,142738,235239,2024413
2376262,142955,232216,2077103
2324550,142862,243089,2014965
2346012,142456,241729,2037738
2466470,143378,242508,2158333
4263686,142823,236402,3959690
4333099,141275,240435,4027330
4346430,142264,226055,4052749
4156327,141704,237282,3849029
3409046,142330,233730,3104503
3438149,142437,239083,3129185
3487416,142525,235972,3184059
3434823,143455,238647,3129077
2796107,143028,238393,2490351
1635324,143524,234208,1332881
1658059,143043,235072,1355151
1664032,142193,238055,1359257
1666746,142062,238663,1360665
1602040,141775,236977,1297465
1451430,141848,231287,1153752
1420709,142916,235383,1117502
1467688,141544,232567,1168182
1514954,141742,229136,1218604
1599845,142473,233138,1299916
1463775,141700,221666,1175851
1485288,142175,224479,1188568
1510084,142568,230969,1206665
1552733,142274,231345,1248365
1451583,142130,234975,1144138
1432009,142116,234562,1125101
1457125,141439,231950,1153855
1464858,140654,235033,1157288
1452329,141981,237037,1141913
1459307,141637,232366,1153784
1496564,141101,239732,1184864
1512226,141778,240630,1200050
1425550,142389,235913,1116939
1404923,142817,237284,1094001
1423346,142198,223706,1127664
1476518,140911,237868,1166931
1453533,140550,238209,1142462
1500094,140754,231183,1197117
1566916,141051,227604,1267227
1537321,140918,226937,1237260
1552929,140176,233761,1247832
1485936,139437,236966,1176423
1532630,140728,236019,1225514
1469998,140511,233258,1165579
1566173,140682,237986,1256310
1554695,140241,233015,1250711
1446502,140315,228558,1146782
2583608,139062,225403,2288510
6799479,137166,210547,6522517
6716050,136948,204770,6444029
4769182,136227,212200,4489639
1464400,138773,225855,1164478
1421943,139915,230602,1119149
1447628,139624,220176,1153944
1426011,139838,192649,1162551
1391435,138833,184625,1137440
1494315,139329,183109,1240947
1476454,139404,181382,1223179
1415902,139669,180335,1166044
1414667,140075,181758,1163788
1401282,140178,182406,1149409
1398490,140207,182353,1144765
1452591,140963,187626,1192805
1533986,140342,188648,1272856
1462621,138528,180478,1211736
1469459,137883,178816,1220343
1518644,138168,179876,1266974
1535044,137556,173529,1291162
1467737,138219,180787,1216253
1474545,138465,175143,1229468
1488484,139196,179400,1236020
1451737,137771,178151,1201304
1483175,138101,182130,1227941
1559257,138232,180906,1304207
1490533,138610,186758,1231511
1474628,138719,187750,1215525
1453532,137615,179682,1202240
1449101,137439,184508,1191292
1481156,137631,179971,1230825
1446907,136872,180548,1194025
1502641,136509,181007,1249914
1668525,135136,174922,1419974
1813901,135392,174238,1567113
1813726,135294,175832,1564036
1842621,135613,174023,1595068
1718087,135192,167763,1477634
1487979,135577,170079,1244658
1478050,134876,170038,1235774
1445685,134163,170781,1203099
2226321,134744,172493,1981254
3180795,134680,170414,2938591
3380682,134307,168067,3140882
3413857,134649,174278,3168697
3396951,134794,170961,3154325
3322366,135188,172705,3077810
3056874,135238,167086,2819808
3101597,135012,170752,2865351
3124221,135206,176950,2884800
3116507,135108,170457,2882033
3052777,135327,173233,2815878
1550381,135435,171560,1315775
1551362,134985,173960,1313472
1506790,134331,176102,1266481
